college,psych_award,psych_total,psych_gend_F,psych_gend_M
SJSU,6.01,375,290,107
CSU_LB ,5.53,489,408,109
HUM_STATE,9.61,181,135,65
SAC STATE,5.58,387,309,93
SDSU,8.06,589,493,133
CSU_SM,6.15,201,157,54
CSU_FULL,6.63,581,430,176
CSU_SANBER,14.8,597,497,130
CAL_POLY_P,2.97,154,136,18
CS_LA,6.22,302,246,70
CSU_DH,10.6,325,246,88
CSU_NOR,9.83,846,643,229
CHI_STATE,6.39,254,199,88
CSU_BAK,8.2,132,105,27
CAL_POLY_SLO,2.94,138,130,8
FRES_STATE,6.69,296,244,66
CSU_MONT,14.3,244,191,53
STAN_STATE,14.1,289,231,78
SFSU,5.08,315,250,109
CSU_EB,7.71,269,208,61
SON_STATE,9.21,209,188,32
CSU_CH_IS,18.9,313,239,74