city,state,year,price
San Jose,CA,2010,516
San Francisco,CA,2010,706
Los Angeles,CA,2010,416
Austin,TX,2010,210
Dallas,TX,2010,103
Chicago,IL,2010,207
San Jose,CA,2012,490
San Francisco,CA,2012,658
Los Angeles,CA,2012,373
Austin,TX,2012,201
Dallas,TX,2012,95
Chicago,IL,2012,166
San Jose,CA,2014,662
San Francisco,CA,2014,879
Los Angeles,CA,2014,482
Austin,TX,2014,239
Dallas,TX,2014,104
Chicago,IL,2014,186
San Jose,CA,2016,814
San Francisco,CA,2016,1114
Los Angeles,CA,2016,562
Austin,TX,2016,290
Dallas,TX,2016,137
Chicago,IL,2016,202