team,tot_respondents,democrat,independent,republican
Arizona Cardinals,148,39,71,38
Atlanta Falcons,188,59,75,54
Baltimore Ravens,150,56,65,29
Buffalo Bills,92,22,46,24
Carolina Panthers,164,51,64,49
Chicago Bears,285,94,129,62
Cincinnati Bengals,106,37,32,37
Cleveland Browns,105,34,42,29
Dallas Cowboys,438,128,170,140
Denver Broncos,313,100,122,91
Detroit Lions,133,50,59,24
Green Bay Packers,526,171,230,125
Houston Texans,160,41,70,49
Indianapolis Colts,122,37,54,31
Jacksonville Jaguars,41,11,18,12
Kansas City Chiefs,130,37,57,36
Los Angeles Rams,97,31,39,27
Miami Dolphins,156,51,66,39
Minnesota Vikings,153,51,63,39
New England Patriots,375,108,171,96
New Orleans Saints,279,94,125,60
New York Giants,239,95,94,50
New York Jets,152,57,60,35
Oakland Raiders,199,67,86,46
Philadelphia Eagles,187,70,73,44
Pittsburgh Steelers,339,97,146,96
Los Angeles Chargers,153,53,64,36
San Francisco 49ers,255,103,105,47
Seattle Seahawks,345,125,146,74
Tampa Bay Buccaneers,105,26,43,36
Tennessee Titans,90,26,37,27
Washington Redskins,139,45,59,35