state,totalPop,hispPop
Alabama,4779736,185602
Alaska,710231,39249
Arizona,6392017,1895149
Arkansas,2915918,186050
California,37253956,14013719
Colorado,5029196,1038687
Connecticut,3574097,479087
Delaware,897934,73221
District of Columbia,601723,54749
Florida,18801310,4223806
Georgia,9687653,853689
Hawaii,1360301,120842
Idaho,1567582,175901
Illinois,12830632,2027578
Indiana,6483802,389707
Iowa,3046355,151544
Kansas,2853118,300042
Kentucky,4339367,132836
Louisiana,4533372,192560
Maine,1328361,16935
Maryland,5773552,470632
Massachusetts,6547629,627654
Michigan,9883640,436358
Minnesota,5303925,250258
Mississippi,2967297,81481
Missouri,5988927,212470
Montana,989415,28565
Nebraska,1826341,167405
Nevada,2700551,716501
New Hampshire,1316470,36704
New Jersey,8791894,1555144
New Mexico,2059179,953403
New York,19378102,3416922
North Carolina,9535483,800120
North Dakota,672591,13467
Ohio,11536504,354674
Oklahoma,3751351,332007
Oregon,3831074,450062
Pennsylvania,12702379,719660
Rhode Island,1052567,130655
South Carolina,4625364,235682
South Dakota,814180,22119
Tennessee,6346105,290059
Texas,25145561,9460921
Utah,2763885,358340
Vermont,625741,9208
Virginia,8001024,631825
Washington,6724540,755790
West Virginia,1852994,22268
Wisconsin,5686986,336056
Wyoming,563626,50231